#  Table F110W_filter.tab  Thu 14:41:52 08-May-2014
#      WAVELENGTH      THROUGHPUT
#           angstroms                
     9307.744        0.396488
       9308.5       0.3963254
     9309.256       0.3961625
     9310.013        0.395999
     9310.764       0.3958124
     9311.521       0.3956243
     9312.277        0.395436
     9313.034       0.3952633
      9313.79       0.3950993
     9314.547       0.3949353
     9315.304        0.394771
     9316.056        0.394608
     9316.813       0.3944436
     9317.569       0.3942794
     9318.321       0.3941161
     9319.079       0.3939517
     9319.836       0.3937872
     9320.588       0.3936434
     9321.346       0.3935039
     9322.108       0.3933633
      9322.86       0.3932412
     9323.618       0.3931428
     9324.375       0.3930444
     9325.128       0.3929466
     9325.886        0.392848
     9326.648       0.3927487
     9327.401        0.392651
     9328.159       0.3925521
     9328.917       0.3924534
      9329.67       0.3923553
     9330.428       0.3922424
     9331.186       0.3921188
     9331.934       0.3919964
     9332.697       0.3918866
      9333.45       0.3918457
     9334.209       0.3918044
     9334.968        0.391763
     9335.726       0.3917217
     9336.484       0.3916804
     9337.243       0.3916389
     9338.002       0.3915975
      9338.75       0.3915568
     9339.509       0.3915154
     9340.272       0.3914825
     9341.026       0.3914661
     9341.785       0.3914497
     9342.545       0.3914331
     9343.304       0.3915078
     9344.058       0.3915844
     9344.817       0.3916613
     9345.571       0.3917379
      9346.33       0.3918147
      9347.09       0.3918917
      9347.85       0.3919688
     9348.604       0.3920452
     9349.368       0.3921229
     9350.128       0.3921959
     9350.883       0.3922475
     9351.643       0.3922997
     9352.402       0.3923517
     9353.157       0.3924547
     9353.917       0.3925729
     9354.683       0.3926917
     9355.438       0.3928091
     9356.197       0.3929272
     9356.958       0.3930455
     9357.713       0.3931629
     9358.473       0.3932809
     9359.233       0.3933994
     9359.989        0.393517
     9360.749         0.39366
      9361.51       0.3938038
     9362.266       0.3939465
     9363.031       0.3941353
     9363.792       0.3943516
     9364.548       0.3945666
     9365.309       0.3947829
     9366.064       0.3949981
     9366.825       0.3952148
     9367.587       0.3954314
     9368.353       0.3956494
     9369.108       0.3958648
      9369.87       0.3960819
     9370.632       0.3962778
     9371.383       0.3964668
     9372.144       0.3966582
     9372.905       0.3968863
     9373.667       0.3971605
     9374.429       0.3974348
      9375.19        0.397709
     9375.941       0.3979797
     9376.714       0.3982581
     9377.476       0.3985324
     9378.228       0.3988036
     9378.989       0.3990781
     9379.752       0.3993531
     9380.509       0.3996433
     9381.275       0.3999456
     9382.038       0.4002467
     9382.795       0.4005582
     9383.558       0.4009038
      9384.32       0.4012493
     9385.083        0.401595
      9385.84       0.4019381
     9386.603       0.4022841
     9387.365       0.4026301
     9388.123       0.4029739
     9388.886       0.4033202
     9389.648       0.4036666
     9390.411       0.4040131
     9391.175         0.40436
     9391.938       0.4047066
     9392.695       0.4050513
     9393.459       0.4053988
     9394.222       0.4057459
      9394.98       0.4060915
     9395.749       0.4064415
     9396.512       0.4067891
     9397.271        0.407135
     9398.034       0.4074831
     9398.798       0.4078313
     9399.556        0.408177
     9400.319       0.4085021
     9401.083       0.4087951
     9401.842        0.409086
     9402.606        0.409379
      9403.37       0.4096638
     9404.129       0.4099466
     9404.898       0.4102336
     9405.657       0.4105166
     9406.422       0.4108017
     9407.186       0.4110864
      9407.95       0.4113715
     9408.709       0.4116545
     9409.479        0.411942
     9410.243       0.4122353
     9410.998       0.4125431
     9411.763        0.412855
     9412.527        0.413167
     9413.292       0.4134617
     9414.057       0.4137553
     9414.822       0.4140491
     9415.576       0.4143386
     9416.342       0.4146326
     9417.106       0.4149263
     9417.872       0.4152205
     9418.637       0.4155143
     9419.402       0.4158085
     9420.168        0.416097
     9420.928       0.4163623
     9421.693       0.4166296
     9422.459       0.4168971
     9423.225        0.417122
      9423.99       0.4173388
     9424.756       0.4175555
     9425.517       0.4177706
     9426.282       0.4179873
     9427.048       0.4182039
     9427.809       0.4184192
     9428.575       0.4186362
     9429.341       0.4188529
     9430.102       0.4190742
     9430.868       0.4193362
      9431.64          0.4196
       9432.4       0.4198601
     9433.167       0.4200648
     9433.934       0.4202512
     9434.695       0.4204364
     9435.462       0.4206226
     9436.229       0.4208091
     9436.995       0.4209956
     9437.762        0.421182
     9438.528       0.4213687
      9439.29       0.4215541
     9440.058       0.4217389
     9440.824       0.4218981
     9441.586       0.4220566
     9442.349       0.4222151
     9443.121       0.4223227
     9443.883       0.4224049
      9444.65        0.422488
     9445.417       0.4225707
     9446.185       0.4226539
     9446.952       0.4227368
      9447.72       0.4228198
     9448.478       0.4229016
     9449.245       0.4229846
     9450.013       0.4230681
      9450.78       0.4231785
     9451.549        0.423289
     9452.316       0.4233994
     9453.079       0.4234589
     9453.853       0.4234905
     9454.615       0.4235216
     9455.389       0.4235532
     9456.146        0.423584
     9456.915       0.4236152
     9457.684       0.4236465
     9458.447       0.4236777
     9459.221       0.4237092
     9459.989       0.4237404
     9460.753       0.4237714
     9461.521       0.4238028
      9462.29       0.4238339
     9463.054        0.423824
     9463.822       0.4237865
     9464.597       0.4237487
      9465.36       0.4237116
      9466.13       0.4236739
     9466.898       0.4236365
     9467.663       0.4235991
     9468.432       0.4235616
     9469.201       0.4235239
     9469.966       0.4234866
     9470.735       0.4234224
     9471.505       0.4233571
     9472.269       0.4232925
     9473.038       0.4231988
     9473.813       0.4230828
     9474.578       0.4229683
     9475.348       0.4228533
     9476.118       0.4227382
     9476.883       0.4226238
     9477.652       0.4225084
     9478.423       0.4223933
     9479.192        0.422278
     9479.963       0.4221626
     9480.733       0.4220733
     9481.498        0.421986
     9482.264       0.4218984
     9483.039       0.4217924
     9483.805       0.4216746
     9484.575       0.4215559
     9485.346       0.4214374
     9486.106       0.4213202
     9486.877       0.4212014
     9487.658        0.421081
     9488.419       0.4209636
     9489.189       0.4208446
     9489.961       0.4207258
     9490.731       0.4206066
     9491.497       0.4204884
     9492.273       0.4203684
     9493.045       0.4202492
     9493.816       0.4201304
     9494.583       0.4200122
     9495.354       0.4198932
      9496.12       0.4197751
     9496.892        0.419656
     9497.664       0.4195368
      9498.43       0.4194185
     9499.202       0.4192992
     9499.974       0.4191799
      9500.74       0.4190302
     9501.518       0.4188773
      9502.29        0.418725
     9503.057       0.4185846
     9503.829       0.4184506
     9504.601       0.4183167
     9505.368       0.4181836
     9506.146       0.4180486
     9506.918       0.4179146
     9507.686       0.4177812
     9508.458       0.4176471
      9509.23       0.4175128
     9509.998       0.4173794
     9510.771       0.4172723
     9511.543       0.4171651
     9512.311       0.4170587
     9513.084       0.4169635
     9513.856       0.4168762
     9514.624       0.4167893
     9515.402       0.4167013
     9516.176       0.4166136
     9516.943       0.4165266
     9517.717        0.416439
      9518.49       0.4163515
     9519.253       0.4162649
     9520.032       0.4161753
     9520.811       0.4160594
     9521.579       0.4159451
     9522.348       0.4158308
     9523.121       0.4157448
     9523.896       0.4156741
     9524.669       0.4156034
     9525.438       0.4155331
     9526.217       0.4154617
      9526.98        0.415392
     9527.755       0.4153211
     9528.528       0.4152503
     9529.303       0.4151796
     9530.077       0.4151113
     9530.852       0.4150674
      9531.62        0.415024
     9532.396         0.41498
      9533.17       0.4149935
     9533.938       0.4150295
     9534.719        0.415066
     9535.493       0.4151021
     9536.263       0.4151383
     9537.038       0.4151744
     9537.812       0.4152105
     9538.583       0.4152468
     9539.357       0.4152828
     9540.133       0.4153189
     9540.902       0.4153549
     9541.678       0.4153908
     9542.453        0.415427
     9543.229       0.4155177
     9544.004       0.4156231
     9544.779       0.4157287
      9545.55       0.4158331
     9546.325       0.4159388
     9547.101       0.4160443
     9547.871       0.4161491
     9548.652       0.4162554
     9549.429       0.4163612
     9550.199       0.4164591
