#  Table F814W_filter.tab  Thu 14:45:22 08-May-2014
#     WAVELENGTH      THROUGHPUT
#         angstroms                
     8129.088       0.1495788
      8130.48       0.1494087
     8131.873        0.149226
     8133.261       0.1490256
      8134.65       0.1488187
     8136.043       0.1486112
     8137.433       0.1484046
     8138.831       0.1481967
     8140.221       0.1479904
     8141.615       0.1477834
     8143.005       0.1475822
       8144.4       0.1473845
     8145.795       0.1471869
     8147.186       0.1469901
     8148.582       0.1467927
     8149.973       0.1465962
     8151.369       0.1464176
     8152.766       0.1462432
     8154.158        0.146076
     8155.554       0.1459082
     8156.947       0.1457411
     8158.344       0.1455734
     8159.742       0.1454059
     8161.139       0.1452233
     8162.533       0.1450294
     8163.927       0.1448034
     8165.325       0.1445769
     8166.724       0.1443507
     8168.123       0.1441245
     8169.517       0.1438993
     8170.917       0.1436735
     8172.312       0.1434486
     8173.712        0.143225
     8175.112       0.1430015
     8176.508       0.1427789
     8177.908       0.1425558
     8179.305       0.1423335
      8180.71       0.1421193
     8182.107       0.1419157
     8183.504       0.1417289
     8184.906       0.1415434
     8186.304       0.1413588
      8187.71       0.1411729
     8189.108       0.1409885
     8190.511       0.1407968
      8191.91       0.1405944
     8193.309       0.1403868
     8194.717       0.1401761
     8196.115       0.1399672
      8197.52       0.1397576
     8198.919       0.1395488
     8200.328       0.1393395
     8201.729       0.1391337
     8203.129       0.1389385
     8204.534        0.138749
     8205.935       0.1385604
     8207.345       0.1383705
     8208.746        0.138182
     8210.152       0.1379951
     8211.555       0.1378246
     8212.956       0.1376534
     8214.368       0.1374799
     8215.771       0.1373078
     8217.178       0.1371351
     8218.581        0.136963
     8219.988       0.1367906
     8221.396       0.1366006
     8222.801         0.13642
     8224.209       0.1362533
     8225.613       0.1360872
     8227.022       0.1359206
     8228.432       0.1357542
     8229.841       0.1355879
     8231.246        0.135432
     8232.651       0.1352807
     8234.062       0.1351374
     8235.473        0.134994
     8236.883       0.1348508
     8238.289       0.1347081
     8239.701       0.1345649
     8241.107       0.1344361
      8242.52        0.134317
     8243.932       0.1342272
     8245.339       0.1341377
     8246.751       0.1340479
     8248.159       0.1339584
     8249.572       0.1338685
     8250.985       0.1337665
     8252.398       0.1336591
     8253.808       0.1335507
     8255.217       0.1334423
     8256.636       0.1333332
     8258.046       0.1332249
      8259.46       0.1331162
      8260.87       0.1330078
      8262.29       0.1328989
     8263.696       0.1328021
     8265.111       0.1327047
     8266.527       0.1326072
     8267.938       0.1325101
     8269.359       0.1324122
     8270.771       0.1323246
     8272.188       0.1322445
     8273.601       0.1321944
     8275.014       0.1321461
     8276.436       0.1320976
     8277.849       0.1320493
     8279.267       0.1320007
     8280.681       0.1319439
     8282.099        0.131878
     8283.518       0.1318125
     8284.932       0.1317473
     8286.352       0.1316819
     8287.766       0.1316166
     8289.186        0.131551
     8290.605       0.1314854
     8292.025       0.1314197
     8293.441       0.1313906
     8294.857       0.1313693
     8296.278       0.1313477
     8297.699        0.131326
     8299.121       0.1313043
     8300.538       0.1312825
      8301.96       0.1312606
     8303.377       0.1312159
       8304.8       0.1311644
     8306.223       0.1311128
     8307.641       0.1310613
     8309.063       0.1310096
